Program Category,Program,Academic Area,Application Notes/ Fee Waiver,Location,Region,Financial Aid Deadline,Minds Matter Deadline,Tuition,Application Fee,Program Duration,Application,Transcript,Recommendation Letters,ACT/SAT,Essays,Essay Topic,Resume,GPA Min,Contact,Website
Best Financial Aid,Boston University Summer Term,,"Use these links
Summer Challenge: http://www.bu.edu/summer/high-school-programs/summer-challenge/apply/partner/form.shtml
RISE: http://www.bu.edu/summer/high-school-programs/research/apply/partner/form.shtml
AIM: http://www.bu.edu/summer/high-school-programs/academic-immersion/apply/partner/form.shtml
High School Honors: http://www.bu.edu/summer/high-school-programs/honors/apply/partner/form.shtml","Boston, MA",East Coast,N/A,,Dependent on how many courses,Waived,2 weeks (Session I 6/19 - 7/1; Session II 7/10-7/22; Session III 7/24-8/5),Online (Please notify summer program director before applying to get application fee waived),Yes,No,Optional,Yes ,Personal Statement,No,N/A,Summer Program Directors,http://www.bu.edu/summer/high-school-programs/index.shtml
Hidden Gems,Brown University Summer@Brown,"Business, Science, Humanities",2 week program only; binding (easy acceptance),"Providence, Rhode Island",East Coast,,3/1/2017,"$3,300 (Students are encourage to take no more than 3 courses)",Waived,3 weeks,"Online (Please contact Summer Program Co-directors ASAP if you have any students interested in applying to Brown. In order to have the application fee waived, I need to submit your students' names to the program rep. Students must hold off on creating an online account until then.","Yes (give it to Summer Director of your local chapter, will mail out in bulk by chapter)",Yes,No,Yes ,N/A,No,N/A,Summer Program Directors,http://www.brown.edu/academics/pre-college/pre-college-courses.php
,Brown University Leadership Program,,binding (easy acceptance),,,,3/1/2017,,,,,,,,,,,,,
Shooting for the Stars,Duke University,"Business, Science, Humanities","Use paper application (sent on 1/9/17) or ask Brent. Also fill out the 2 forms on this website (right side)
http://summersession.duke.edu/high-school-students/duke-summer-academy","Durham, NC",East Coast,,1/31/2017,"MM responsible for $2,000",$0 ,,Offline - link provided in December,Yes,Yes,Optional,Yes,An essay stating why you are uniquely qualified for this program and an explanation of your interest in the classes for which you are applying. Two strong paragraphs are sufficient.,"Yes (A resume highlighting your academic and non-academic experiences.  Please include any community service, extracurricular activities, leadership roles, or awards you have received.)",N/A,,http://summersession.duke.edu/high-school-students/duke-summer-academy
Best Financial Aid,George Washington University (Summer Immersion Program),,NOT PREFERRED FOR CHICAGO STUDENTS,"Washington, DC",East Coast,N/A,,"$2,755 ",100 (Select Minds Matter on the application to get the fee waived),2 weeks (Session I: July 5-17 or Session II: July 19-31) ,TBD,yes,Yes,Optional,Yes,350-word personal statement,No,No,Summer Program Directors,http://precollege.gwu.edu/summer-immersion
HIdden Gems,Girls Who Code,Technology,,,,,3/1/2017,,,,,,,,,,,,,
Shooting for the Stars,Harvard University (Pre-College Program),"Business, Science, Technology, Humanities, Writing/Journalism",No fee waiver. $50 fee.Binding (difficult acceptance),"Boston, MA",East Coast,,1/31/2017,"$4,200 ",$50 ,3 weeks (Session I: June 26–July 8 or Session II: July 10–22 or Session III: July 24–August 5),TBD ,Yes,Yes,No,Yes,Short Response,No,No,Summer Program Directors,http://www.summer.harvard.edu/programs/pre-college-program
Best Financial Aid,Ithaca Summer College,"Science, Humanities","Binding - if you are accepted you must attend (easy to get into) Please only apply to Ithaca if it's one of your top 3 choices on your wishlist. If it's your #1 choice, notify your SPD immediately so we can save you a spot.","Ithaca, NY",East Coast,,3/1/2017,"50%, MM pays $2,400 for 3 week program. MM pays $1080 for 1 week program.  ","In order to get your fee waived, make sure you notify your SPD of: your full name, email, program choice, and program length before 2/20. However, you can still submit your app. withour your fee waived.",,TBD online; ,,,,,,,,,http://www.ithaca.edu/summercollege/
Shooting for the Stars,Johns Hopkins Discover Hopkins,Science,Code: OSIPMinds,"Baltimore, Maryland",East Coast,,,"$2,500 ","$50 (Waived with code ""OSIPMinds16"" on the Finish and Pay section of the application (Step 5))",2 weeks (Session I 6/19-7/2 or Session II 7/3-7/16 or Session III 7/17-7/30),TBD  ,Yes,Yes (2),Yes,Yes ,Writing Sample,No,No,Summer Program Directors,http://pages.jh.edu/summer/precollege/discover/
Best Financial Aid,Junior Statesmen - Georgetown University,Humanities,Separate scholarship app; Binding - must attend if accepted (moderate acceptance),"Washington, DC",East Coast,,3/1/2017,MM pays $2850,N/A,3 weeks,TBD Complete separate scholarship app; Binding - must attend if accepted (moderate acceptance),Yes,Yes,Optional,Yes,"1. In 150 words or less, please tell us about any leadership positions you hold or have held.
2. Write an essay of at least 500, but no more than 750 words about a political issue that you care about. The personal essay helps us understand you as a person and a student. ",No,No,Summer Program Directors,http://summer.jsa.org/programs/summer-school/georgetown-university/
